Author,Content,Date
luvsroadtrips,"This place is not even suitable for the homeless take my advice and stay far far away! We booked only because every where else in town was full and looked at the last review and thought ok great location and comfortable beds, made all the previous ones seem possibly an exageration. NOT AT ALL people believe me you will hate this place! Upon arrival we were greated by a woman that could not speak english hardly at all, unable to answer our questions about the age of the hotel, parking, etc. Upon check in we got our room keys and were placed on the 9th floor on the way up the elevator which sounded horrible BTW the elevator stopped on the 2nd floor to pick up another rider going up, I about vomited right there the carpet was so terribly stained and the smell emitting from that floor was horrible, We made it to the 9th and although stained carpet not even half as bad as the 2nd floor we were a bit more hopeful. We booked a standard double room, and that's what you get, a tiny double sized bed, old linens, filthy carpet, gross tiny bathroom but we had running water and heat so decided to make the most of it. We all (2 couples 2 rooms) headed out on the town upon arriving back at our hotel, the elevator was out of service we were told the stairs were our only choice, 9 stories later exhausted we finally made it to our rooms and literally fell exhausted into our beds, we awoke the next morning only to learn the elevator was still out of service, meaning we got to haul all our luggage down 9 floors, filthy staircase and something all over the stairs of the 4th to the 2nd floor made it treacherous as well. Today being 4 days later my muscles still ache I've yet to hear back from the manager (we requested some sort of a discount) I'm betting we won't hear back and we chalk it up to learning the hard way. I'd much rather stay in a hostel or sleep in a park then ever step foot in this horrid excuse for a hotel again!!!! GROSS...... seriously need a hazmat suit to enter.","January 3, 2012"
estelle e,We stayed in downtown hotel Seattle for two night. Beds were very comfortable. Rooms wee very clean. Just minutes away from union street and 5th avenue. Starucks coffee next door. 24 hour room service was extremely friendly and helpful. We ordered pizza to our hotel at 12am. we had a good experience.,"December 29, 2011"
RobertEddy,"i made reservations and when i showed up, i quickly started laughing at how pathetic is was. first, they didnt even have parking near the hotel. second, i asked if they had wi-fi and they replied enthusiastically,"" we have it in the lobby!"" how is that even a perk? finally, i said screw this place for these rates and left. the manager offered other places and followed me to the door. the next day, they charged me for the reserved room and said that i was a no show! the people are rude and have not given my money back yet. they should post their business as a motel at the very least! all i can say is never again!","December 20, 2011"
James R,"This hotel is so bad it's a joke. I could barely sleep because the place is so ghetto, you sit in your room worried about your safety and your valuables. The elevator crawls up squeeking the whole way with no certificate of inspection or weight limit posted. The room looks like somethig out of the 70s. Holes in the sheets, no toilet paper roll, just sitting on the sink, an old water furnace with peeling paint (is it lead based?). The TV has about 5 working chanels and has a hole in the plastic. The wiring is obviously shoddy and I found a working outlet on my third try. The heat runs so hot and does not adjust. You have to open a window. The window has no screen and I was on the 8th floor (Do Not stay here with a child). The wallpaper was badly peeling, exposing mold and mildew on the walls. I can only imagine how poor the air quality was. No WiFi in the room. The neighbors next to me were having relations loudly and the walls are paper thin. After hearing the walls bang for a few minutes, I had to get some fresh air. The surrounding area is full of homeless and shady characters. There is a terrible bar in the basement that attracts scumbags and white trash who hang out in front of the entrance. The thing is, this room cost me $95!!! I've got great hotels in other major cities, Chicago, NY, Orlando for this range that are great. This is a Roach Motel that is best suited for drug use and prostitution. It should offer hourly rates. I took off my watch and ring just to make sure no one was casing me out. The worst part is that the website is completely misleading. Any positive reviews seem like ownership tring to do damage control on the reviews.","October 30, 2011"
Shobha49,"My husband and I stayed at this hotel from 16th July to 18th July. We selected this hotel purely for the excellent location and for the cost. But frankly we were in for a shock when we arrived at the hotel directly after disembarking from a cruise. There was only one person at the front desk and he bluntly told us that check-in was only after 3pm. Since it was a long wait (we reached the hotel at 11am) we requested that we be allowed to leave our luggage. Luckily he agreed., So we left and returned only later in the evening. There was only one lift and that was so ancient just like everythinhg at the hotel. The room was smelling awful and looked very dull and unwelcoming. There was free wifi only in the lobby. The bathroom was only just adequate as the toilet seat was wobbly and almost broken. There was no kettle or microwave anywhere in the hotel. We just managed to survive for two nights only because it was conveniently located to the Pyke Marketplace ,space needle and the sea front. Luckily there were good restaurants and Starbucks close by . I will think twice before staying again at this hotel","September 14, 2011"
PalomitaBlanca,"Very basic hotel and good rate compared to most of the hotels in the area. Stayed here for 3 nights. Excellent staff that was very friendly and helpful. Very central to everything in downtown Seattle. Could definitely use a revamp (lobby, bedrooms, bathrooms, etc). Nonetheless I'd stay here again because the price was very affordable.","September 6, 2011"
Qualnurse,"We stayed for one night, before a cruise to Alaska leaving from Seattle. We had previously stayed at the Warwick, and this hotel did not have near the same comfort level, but was still very comfortable and within walking distance of Pikes Placed market and other downtown attractions. We will definitely stay again!","September 6, 2011"
Debbie R,"Stay here if you want to experenice hell. Joel is the manger,an know help want so ever. Put me on the 10th floor even though he knew I don't like elevators. Then told the staff not to move me.","August 27, 2011"
travelitch_gal,"If you are looking for a value for money hotel, this would be it. It is a no frills hotel. The room and bathroom are clean. You can only use the wifi at the hotel lobby so it is rather troublesome if you need the Internet frequently. The staff are friendly too so that is a plus.","August 23, 2011"
Khaap,"This hotel had character! I really liked our room too. It was tiny but fun. Very well decorated and the bed was very comfortable. If you need space to spread out this isn't the place for you but if you plan on enjoying the room just as a place to drop your things and go enjoy the city than this is the perfect place. The location was fantastic and the staff was friendly and helpful. The hallways made me feel like I was in a dream. I loved the decor!! Very artistic, not like any other place I have ever stayed. I was a little concerned because I had seen that this hotel was listed on the bed bug report. I called ahead of time to inquire about this issue. I spoke to the general manager who told me that bed bugs have now come to Seattle and they are a problem in the industry and any hotel at any time could have them. He also assured me that they bring in dogs to check the rooms on a regular basis and if any are found they are properly exterminated. I don't think you can ask for anything else. We had no bed bugs in our room! Yea! Anyhow the place is great! I would go back for sure. Give them a try.","August 10, 2011"
